title,imdb_rating
Hey Arnold! The Jungle Movie,7.6
The Untold Tales of Armistead Maupin,7.6
Kevin Hart: Seriously Funny,7.6
Manorama Six Feet Under,7.6
Parmanu: The Story of Pokhran,7.6
Bhavesh Joshi Superhero,7.6
A Grand Night In: The Story of Aardman,7.6
The Social Dilemma,7.6
A Twelve-Year Night,7.6
Mango Dreams,7.6
The Beginning of Life,7.6
I Am Divine,7.6
Vaya,7.6
Mucize,7.6
Mersal,7.6
A Single Man,7.6
Habibie & Ainun,7.6
Being Elmo: A Puppeteer's Journey,7.6
Highway,7.6
Athlete A,7.6
Dil Se..,7.6
Mike Birbiglia: What I Should Have Said Was Nothing,7.6
Jodhaa Akbar,7.6
Love You to the Stars and Back,7.6
Tom Segura: Disgraceful,7.6
For the Love of Spock,7.6
Sherlock Holmes,7.6
The Fear of 13,7.6
Rocks,7.6
Kappela,7.6
Stree,7.6
What the F* Is Going On?,7.6
The Boy Who Harnessed the Wind,7.6
The House of Flowers Presents: The Funeral,7.6
White Christmas,7.6
Bad Genius,7.6
Samantaral,7.6
The C Word,7.6
Andhaghaaram,7.6
Nate Bargatze: The Tennessee Kid,7.6
Berserk: The Golden Age Arc I - The Egg of the King,7.6
National Lampoon's Christmas Vacation,7.6
Dear Zindagi,7.6
Rhys Nicholson: Live at the Athenaeum,7.6
Yeh Ballet,7.6
Stardust,7.6
Louis C.K. 2017,7.6
Adam Sandler: 100% Fresh,7.6
Why Me?,7.6
Brené Brown: The Call to Courage,7.6
"What Happened, Miss Simone?",7.6
Ip Man 2,7.5
Total Recall,7.5
The Rolling Stones: Olé Olé Olé! – A Trip Across Latin America,7.5
Aggretsuko: We Wish You a Metal Christmas,7.5
Neon Genesis Evangelion: Death and Rebirth,7.5
Kuchh Bheege Alfaaz,7.5
Best Worst Thing That Ever Could Have Happened...,7.5
Hugo,7.5
Secret,7.5
The Garden of Words,7.5
Heneral Luna,7.5
Pick of the Litter,7.5
Money Heist: The Phenomenon,7.5
Born to Be Free,7.5
A Monster Calls,7.5
Scott Pilgrim vs. the World,7.5
Mike Birbiglia: Thank God for Jokes,7.5
Wadjda,7.5
That Thing Called Tadhana,7.5
John Leguizamo's Latin History for Morons,7.5
Jeff Dunham: Jeff Dunham's Very Special Christmas Special,7.5
The Blue Umbrella,7.5
Asees,7.5
U Turn,7.5
Carlos Almaraz: Playing With Fire,7.5
Burning,7.5
Taramani,7.5
Jeff Dunham: Controlled Chaos,7.5
Hum Aapke Hain Koun..!,7.5
Happy as Lazzaro,7.5
Bareilly's Barfi,7.5
Miracle,7.5
The Conjuring,7.5
Hitler: A Career,7.5
Love for Sale,7.5
Nocturnal Animals,7.5
Clive Davis: The Soundtrack of Our Lives,7.5
Joe Rogan: Triggered,7.5
Santa Claws,7.5
Seth Meyers: Lobby Baby,7.5
Transformer,7.5
Sarah's Key,7.5
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,7.5
Eddie: Strongman,7.5
Ali Wong: Baby Cobra,7.5
Invader ZIM: Enter the Florpus,7.5
Prosecuting Evil: The Extraordinary World of Ben Ferencz,7.5
"Waiting for ""Superman""",7.5
ZZ Top: That Little Ol' Band From Texas,7.5
Ne Zha,7.5
Homecoming: A Film by Beyoncé,7.5
SuckSeed,7.5
The Distinguished Citizen,7.5
The Grizzlies,7.5
Jim Jefferies: This Is Me Now,7.4
Miles Davis: Birth of the Cool,7.4
Fire in Paradise,7.4
Garfunkel and Oates: Trying to be Special,7.4
Us and Them,7.4
A Bridge Too Far,7.4
Maktub,7.4
Ghadi,7.4
The Guernsey Literary & Potato Peel Pie Society,7.4
3 Seconds Divorce,7.4
Miss Americana,7.4
Molly's Game,7.4
Love and Shukla,7.4
Numero Zero: The Roots of Italian Rap,7.4
Mud,7.4
Everybody's Everything,7.4
Mudbound,7.4
Eeb Allay Ooo!,7.4
Soorma,7.4
Sad Hill Unearthed,7.4
Kabhi Khushi Kabhie Gham,7.4
Inuyasha the Movie 4: Fire on the Mystic Island,7.4
1000 Mabrouk,7.4
Pek Yakında,7.4
Tig,7.4
Socha Na Tha,7.4
Ali Wong: Hard Knock Wife,7.4
Satan & Adam,7.4
Freedom at Midnight,7.4
Dear Ex,7.4
Reversing Roe,7.4
From One Second to the Next,7.4
Life in a Metro,7.4
Joan Didion: The Center Will Not Hold,7.4
Magic Carpet Ride,7.4
They'll Love Me When I'm Dead,7.4
The Present,7.4
Long Shot,7.4
Amandla! A Revolution in Four-Part Harmony,7.4
Trailer Park Boys: Countdown to Liquor Day,7.4
Judge Singh LLB,7.4
Marc Maron: Thinky Pain,7.4
Denis Leary: No Cure for Cancer,7.4
Komola Rocket,7.4
Raman Raghav 2.0,7.4
Alexandria… Why?,7.4
Ronny Chieng: Asian Comedian Destroys America!,7.4
Chillar Party,7.4
Guzaarish,7.4
Period. End of Sentence.,7.4
John & Yoko: Above Us Only Sky,7.4
Mo Amer: The Vagabond,7.4
Kaminey,7.4
Howards End,7.4
Even the Rain,7.4
Bleach the Movie: Hell Verse,7.4
Bogda,7.4
Palm Trees in the Snow,7.4
Demetri Martin: Live (At The Time),7.4
Donald Glover: Weirdo,7.4
Forgotten,7.4
"Crazy, Stupid, Love.",7.4
Ricardo Quevedo: Los amargados somos más,7.4
Mard Ko Dard Nahi Hota,7.4
Can't Complain,7.4
The 100 Years Show,7.4
Three Words to Forever,7.4
The Trader,7.4
Nate Bargatze: The Greatest Average American,7.4
Shirkers,7.4
One Day We'll Talk About Today,7.4
My Mother's Wound,7.4
Yuva,7.4
Bethany Hamilton: Unstoppable,7.4
American Factory,7.4
Joe Rogan: Strange Times,7.4
Lady Bird,7.4
Searching for Bobby Fischer,7.4
Get Me Roger Stone,7.4
Audrey,7.4
Violet Evergarden: Eternity and the Auto Memory Doll,7.4
The 12th Man,7.4
Born in Gaza,7.4
The Short Game,7.4
X-Large,7.3
Little Big Women,7.3
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",7.3
Zach Galifianakis: Live at the Purple Onion,7.3
Capital in the Twenty-First Century,7.3
Before the Flying Circus,7.3
Ryan Hamilton: Happy Face,7.3
Bleach the Movie: Fade to Black,7.3
The Next Three Days,7.3
Blue Jay,7.3
Shot Caller,7.3
An Egyptian Story,7.3
Father Soldier Son,7.3
The Ryan White Story,7.3
The Fundamentals of Caring,7.3
Dolemite Is My Name,7.3
"Hello, Love, Goodbye",7.3
Cracked Up: The Darrell Hammond Story,7.3
My Little Pony: Equestria Girls - Forgotten Friendship,7.3
Weed the People,7.3
Pee Mak Phrakanong,7.3
BNK48: Girls Don't Cry,7.3
Tamasha,7.3
Bully,7.3
Seven Souls in the Skull Castle,7.3
Team Foxcatcher,7.3
Dolly Parton: Here I Am,7.3
Material,7.3
Extremis,7.3
Chef,7.3
Aziz Ansari: Buried Alive,7.3
ReMastered: Massacre at the Stadium,7.3
Mom,7.3
Your Name Engraved Herein,7.3
Sitara: Let Girls Dream,7.3
Quiet Victory: The Charlie Wedemeyer Story,7.3
Bill Burr: Walk Your Way Out,7.3
The Death and Life of Marsha P. Johnson,7.3
El día menos pensado,7.3
"The Other One: The Long, Strange Trip of Bob Weir",7.3
Trevor Noah: Son of Patricia,7.3
I Called Him Morgan,7.3
Shawn Mendes: Live in Concert,7.3
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,7.3
The Accountant of Auschwitz,7.3
El Camino: A Breaking Bad Movie,7.3
Five Element Ninjas,7.3
The Hows of Us,7.3
37 Seconds,7.3
Growing Up Wild,7.3
"Main, Meri Patni Aur Woh",7.3
Gabriel Iglesias: One Show Fits All,7.3
David A. Arnold: Fat Ballerina,7.3
Mad World,7.3
Trixie Mattel: Moving Parts,7.3
Sky Ladder: The Art of Cai Guo-Qiang,7.3
1000 Rupee Note,7.3
Sugar High,7.3
Posesif,7.3
Maj Rati Keteki,7.3
Love Is War,7.3
Bhaji in Problem,7.3
Ishqiya,7.3
Greater,7.3
Bonne nuit Blanche,7.3
Bad Seeds,7.3
Aruna & Her Palate,7.3
The Squid and the Whale,7.3
Inuyasha the Movie: Affections Touching Across Time,7.3
Snowden,7.3
The Fluffy Movie,7.3
The Forty-Year-Old Version,7.3
Three,7.3
On My Skin,7.3
Invictus,7.3
Alejandro Sanz: What I Was Is What I Am,7.3
Pyaar Ka Punchnama 2,7.3
ReMastered: The Two Killings of Sam Cooke,7.3
Tom Segura: Ball Hog,7.3
I'm No Longer Here,7.3
Classmates Minus,7.3
Metallica: Through the Never,7.2
Jimmy Carr: Funny Business,7.2
Raising Victor Vargas,7.2
First They Killed My Father,7.2
Wanda Sykes: Not Normal,7.2
The Founder,7.2
Defiance,7.2
The Edge of Democracy,7.2
Cosmos Laundromat,7.2
Sour Apples,7.2
The King,7.2
The Massively Mixed-Up Middle School Mystery,7.2
The Patriot,7.2
The Death of Stalin,7.2
Black Mirror: Bandersnatch,7.2
War Horse,7.2
Tinker Bell and the Legend of the NeverBeast,7.2
Paddleton,7.2
Grass is Greener,7.2
Late Life: The Chien-Ming Wang Story,7.2
Jim Jefferies: Intolerant,7.2
"Yours Sincerely, Kanan Gill",7.2
My Stupid Boss,7.2
Don,7.2
"Ray Romano: Right Here, Around the Corner",7.2
Soni,7.2
Ladies First,7.2
Highly Strung,7.2
Shaitan,7.2
An Hour and a Half,7.2
Kon-Tiki,7.2
My Suicide,7.2
Berlin Calling,7.2
Norman Lear: Just Another Version of You,7.2
Michelle Wolf: Joke Show,7.2
The Croods,7.2
What Did I Mess,7.2
Dilan 1990,7.2
Everything About Her,7.2
Na Bangaaru Talli,7.2
Lucha: Playing the Impossible,7.2
Greg Davies: You Magnificent Beast,7.2
LA Originals,7.2
Patton Oswalt: Annihilation,7.2
Waiting,7.2
Iliza Shlesinger: Elder Millennial,7.2
Jo Koy: Live from Seattle,7.2
Imago,7.2
Chris Rock Total Blackout: The Tamborine Extended Cut,7.2
Private Life,7.2
Demetri Martin: The Overthinker,7.2
The Last Resort,7.2
Seventeen,7.2
Tom Papa: You're Doing Great!,7.2
Trailer Park Boys: The Movie,7.2
Marc Maron: Too Real,7.2
Toilet: A Love Story,7.2
A Fortunate Man,7.2
Mukhsin,7.2
Love in a Puff,7.2
Ittefaq,7.2
Halkaa,7.2
Uriyadi 2,7.2
Jhankaar Beats,7.2
The Perfect Dictatorship,7.2
Talaash,7.2
She's Dating the Gangster,7.2
True: Grabbleapple Harvest,7.2
The Endless Trench,7.2
Gad Elmaleh: American Dream,7.2
The White Tiger,7.2
The Lift Boy,7.2
Zion,7.2
Baxu and the Giants,7.2
The History of Future Folk,7.2
The Bridge,7.2
Patria,7.2
Naruto Shippuden the Movie: The Will of Fire,7.2
Destiny,7.2
Crazy Beautiful You,7.2
The Butler,7.2
Evvarikee Cheppoddu,7.2
Can't Help Falling in Love,7.2
Michael McIntyre: Showman,7.2
Daughter of the Lake,7.2
Forever Chape,7.2
Fyre,7.2
Rango,7.2
Ban'yuuki,7.2
Colin Quinn: Unconstitutional,7.2
Tom Papa: Live in New York City,7.2
Pieces of a Woman,7.1
Qarib Qarib Singlle,7.1
The One I Love,7.1
True: Tricky Treat Day,7.1
Sebastian Maniscalco: Stay Hungry,7.1
Operation Varsity Blues: The College Admissions Scandal,7.1
Walk Away from Love,7.1
War Dogs,7.1
"El Pepe, A Supreme Life",7.1
The Heaven None Missed 2,7.1
Handsome Devil,7.1
Saudi Arabia Uncovered,7.1
The Hater,7.1
A Kid from Coney Island,7.1
Everyday I Love You,7.1
Don 2,7.1
Luck by Chance,7.1
Aadu 2,7.1
Ma Rainey's Black Bottom,7.1
Notes on Blindness,7.1
Dance Dreams: Hot Chocolate Nutcracker,7.1
13th: A Conversation with Oprah Winfrey & Ava DuVernay,7.1
The Milk System,7.1
Kingdom of Us,7.1
Angela's Christmas,7.1
Loudon Wainwright III: Surviving Twin,7.1
Aykut Enişte,7.1
Kung Fu Panda: Secrets of the Scroll,7.1
Steel Rain,7.1
The Carter Effect,7.1
To All the Boys I've Loved Before,7.1
My Beautiful Broken Brain,7.1
One of Us,7.1
The Interview,7.1
Solo,7.1
We Are Young. We Are Strong.,7.1
Painted Faces,7.1
The Remix: Hip Hop x Fashion,7.1
The Devil All the Time,7.1
Rize,7.1
Ip Man 3,7.1
East Side Sushi,7.1
Rooting for Roona,7.1
Adam: His Song Continues,7.1
Evelyn,7.1
End Game,7.1
Mosul,7.1
The Wedding Shaman,7.1
Carlos Ballarta: El Amor es de Putos,7.1
Carlos Ballarta: Furia Ñera,7.1
Shutter,7.1
The Danish Girl,7.1
Wandering Stars,7.1
E-Team,7.1
Dedh Ishqiya,7.1
Kaabil,7.1
Octonauts & the Great Barrier Reef,7.1
The Seven Deadly Sins: Prisoners of the Sky,7.1
Aapla Manus,7.1
The Princess and the Frog,7.1
A Heavy Heart,7.1
Skin,7.1
The Unknown Known,7.1
The Gospel of Luke,7.1
The Witch: Part 1. The Subversion,7.1
Starting Over Again,7.1
The Five Venoms,7.1
Jim Gaffigan: Cinco,7.1
The Last Blockbuster,7.1
I Am Maris: Portrait of a Young Yogi,7.1
The Dig,7.1
Si Doel the Movie,7.1
Haani,7.1
Franco Escamilla: bienvenido al mundo,7.1
What We Started,7.1
Fate: The Winx Saga - The Afterparty,7.1
Professor,7.1
Gabbar Is Back,7.1
Jeff Dunham: Minding the Monsters,7.1
ReMastered: Tricky Dick & The Man in Black,7.1
Real Steel,7.1
My Masterpiece,7.1
Game Over,7.1
Ave Maryam,7.1
Ho Mann Jahaan,7.1
Sakaling Maging Tayo,7.1
Duniya,7.1
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1
Keith Richards: Under the Influence,7.1
Riphagen The Untouchable,7.1
Girl,7.1
Tune in for Love,7.1
Vir Das: Losing It,7.1
Joshua: Teenager vs. Superpower,7.1
Circus of Books,7.1
Shéhérazade,7.1
Angela's Christmas Wish,7.1
Remember Me,7.1
Tread,7.1
Dukhtar,7.0
Dr Jason Leong: Hashtag Blessed,7.0
Under the Bombs,7.0
The Night Comes for Us,7.0
Quién te cantará,7.0
Chelsea Peretti: One of the Greats,7.0
Naruto Shippuden the Movie: The Lost Tower,7.0
When Hari Got Married,7.0
Dil,7.0
The Great Hack,7.0
Verses of Love,7.0
American Honey,7.0
Julie & Julia,7.0
A Family Affair,7.0
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,7.0
The Sapphires,7.0
Paradise Lost,7.0
Ip Man 4: The Finale,7.0
Naruto Shippuden the Movie: Bonds,7.0
Dragons: Dawn Of The Dragon Racers,7.0
Elevator Baby,7.0
Beat Bugs: All Together Now,7.0
"Ram Dass, Going Home",7.0
Los Tigres del Norte at Folsom Prison,7.0
Main Hoon Na,7.0
Buddy Thunderstruck: The Maybe Pile,7.0
True: Winter Wishes,7.0
Rose Island,7.0
Jonaki,7.0
Ride Like a Girl,7.0
Abdullah : The Final Witness,7.0
ParaNorman,7.0
Rainbow Jelly,7.0
Whisky,7.0
Hunterrr,7.0
ReMastered: Devil at the Crossroads,7.0
The African Doctor,7.0
Den of Thieves,7.0
The Dirt,7.0
Katherine Ryan: In Trouble,7.0
Grandmaster,7.0
Soul Surfer,7.0
Pelé,7.0
The Christmas Chronicles,7.0
Party Monster: Scratching the Surface,7.0
Song for Marion,7.0
Carmen Sandiego: To Steal or Not to Steal,7.0
Lavell Crawford: Can a Brother Get Some Love?,7.0
Chameli,7.0
Studio 54,7.0
Loving,7.0
Safety Not Guaranteed,7.0
Feminists: What Were They Thinking?,7.0
I Am Jonas,7.0
Thottappan,7.0
Resurface,7.0
Beyond the Clouds,7.0
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,7.0
Axone,7.0
Made You Look: A True Story About Fake Art,7.0
Mirai,7.0
Fisherman’s Friends,7.0
Ninjago: Masters of Spinjitzu - Day of the Departed,7.0
Chaman Bahar,7.0
Rocko's Modern Life: Static Cling,7.0
The Killing of a Sacred Deer,7.0
Jerry Before Seinfeld,7.0
ReMastered: The Miami Showband Massacre,7.0
And Breathe Normally,6.9
I'm Leaving Now,6.9
The Half of It,6.9
Carbon,6.9
2 States,6.9
Go! Go! Cory Carson: The Chrissy,6.9
The Resistance Banker,6.9
Ghost of the Mountains,6.9
Maria Bamford: The Special Special Special!,6.9
Under the Shadow,6.9
Love on Delivery,6.9
ReMastered: Who Shot the Sheriff,6.9
The Meyerowitz Stories (New and Selected),6.9
M8 - When Death Rescues Life,6.9
Love for Sale 2,6.9
Shubh Aarambh,6.9
Get on Up,6.9
Funan,6.9
Jagat,6.9
A Shaun the Sheep Movie: Farmageddon,6.9
Free State of Jones,6.9
XV Beyond the Tryline,6.9
Mitt,6.9
Black '47,6.9
Bwakaw,6.9
Good Hair,6.9
What Happened to Monday,6.9
Welcome to Sajjanpur,6.9
Suffragette,6.9
#FriendButMarried,6.9
Disconnect,6.9
Cops and Robbers,6.9
Shaun the Sheep: The Farmer's Llamas,6.9
A Love Song for Latasha,6.9
